model,cif_id,system,formula,is_pristine,natoms_model,natoms_dft,E_init_model_eV,E_final_model_eV,E_init_model_per_atom_eV,E_final_model_per_atom_eV,dE_model_eV,dE_model_per_atom_eV,E_init_dft_eV,E_final_dft_eV,E_init_dft_per_atom_eV,E_final_dft_per_atom_eV,dE_dft_eV,dE_dft_per_atom_eV,dE_dft_scaled_to_model_eV,dE_model_scaled_to_dft_eV,ratio_dft_to_model,dft_source,notes,pristine_ratio_dft_to_model
DPA3,P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2,P,P134N4,False,138,138,-726.212667795854,-741.977006676631,-5.262410636201841,-5.376644975917617,-15.764338880777018,-0.1142343397157755,-726.52764462,-741.27972253,-5.264693076956522,-5.371592192246377,-14.752077909999912,-0.10689911528985444,-14.752077909999912,-15.764338880777018,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2_unrelaxed,
DPA3,P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce,P,P134N4,False,138,138,-727.3990660636,-741.952265831666,-5.271007725098551,-5.376465694432362,-14.553199768065952,-0.10545796933381124,-727.50677481,-741.1444366,-5.27178822326087,-5.37061185942029,-13.637661789999925,-0.09882363615941975,-13.637661789999925,-14.553199768065952,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce_unrelaxed,
DPA3,P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346,P,P134N5,False,139,139,-733.819595456201,-750.131220951754,-5.2792776651525255,-5.396627488861539,-16.311625495553017,-0.1173498237090145,-733.48285338,-750.60629783,-5.27685506028777,-5.400045308129497,-17.123444449999965,-0.12319024784172637,-17.123444449999965,-16.311625495553017,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346_unrelaxed,
DPA3,P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62,P,P134N6,False,140,140,-741.718744185883,-758.696228874046,-5.297991029899165,-5.419258777671757,-16.97748468816303,-0.12126774777259308,-741.57528259,-758.24109984,-5.296966304214286,-5.416007855999999,-16.665817249999918,-0.1190415517857137,-16.665817249999918,-16.97748468816303,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62_unrelaxed,
DPA3,P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba,P,P134N7,False,141,141,-749.178229863007,-767.796520644982,-5.313320779170263,-5.445365394645263,-18.61829078197502,-0.13204461547500015,-748.76012974,-768.11628177,-5.310355530070922,-5.447633204042553,-19.356152029999976,-0.13727767397163104,-19.356152029999976,-18.618290781975023,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba_unrelaxed,
DPA3,P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee,P,P134N7,False,141,141,-749.012244159539,-767.487703332861,-5.312143575599568,-5.443175200942276,-18.47545917332195,-0.13103162534270887,-748.79700722,-767.30946277,-5.310617072482269,-5.441911083475177,-18.512455550000027,-0.131294010992908,-18.512455550000027,-18.47545917332195,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee_unrelaxed,
DPA3,P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692,P,P134N8,False,142,142,-756.022280893525,-775.102991706928,-5.324100569672711,-5.458471772584001,-19.080710813403016,-0.13437120291128885,-755.58368301,-774.65398141,-5.321011852183099,-5.4553097282394365,-19.07029840000007,-0.13429787605633853,-19.07029840000007,-19.080710813403016,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692_unrelaxed,
DPA3,P_P134N8_77084258-796b-405c-8b5a-17d19cee3337,P,P134N8,False,142,142,-757.110818586548,-775.97477216204,-5.3317663280742815,-5.464611071563662,-18.86395357549202,-0.1328447434893804,-756.56360189,-775.81406828,-5.3279126893661966,-5.463479354084507,-19.250466390000042,-0.13556666471831016,-19.250466390000042,-18.86395357549202,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N8_77084258-796b-405c-8b5a-17d19cee3337_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N8_77084258-796b-405c-8b5a-17d19cee3337_unrelaxed,
DPA3,P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39,P,P134N9,False,143,143,-763.785090793213,-784.46079333528,-5.3411544810714195,-5.485739813533426,-20.675702542066915,-0.1445853324620064,-763.13835897,-784.03191005,-5.336631880909091,-5.482740629720279,-20.893551079999952,-0.1461087488111885,-20.893551079999956,-20.675702542066915,1.0,vasprun:ionic,model=DPA3;dft-match:P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39_unrelaxed,
DPA3,P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,P,P137N1,False,138,138,-726.681764987874,-734.713714254666,-5.265809891216478,-5.324012422135261,-8.031949266792026,-0.058202530918782795,-727.05458933,-733.92677702,-5.268511516884058,-5.3183099784057974,-6.8721876900000325,-0.04979846152173937,-6.872187690000033,-8.031949266792026,1.0,vasprun:ionic,model=DPA3;dft-match:P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346_unrelaxed/vasprun.xml;dump-match:BP_spin_500_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346_unrelaxed,
